
"2001 census - theme tables"
"ONS Crown Copyright Reserved [from Nomis on 26 December 2020]"
"Analysis   :","standard"
"Date       :","2001"

"row","Essex","Cell"
75,383,"T53:75 (AGE - 60 to 64 : Jewish )"
76,177,"T53:76 (AGE - 60 to 64 : Muslim )"
77,36,"T53:77 (AGE - 60 to 64 : Sikh )"
78,167,"T53:78 (AGE - 60 to 64 : Any other religion )"
79,4629,"T53:79 (AGE - 60 to 64 : No religion )"
80,4454,"T53:80 (AGE - 60 to 64 : Religion not stated )"
81,115345,"T53:81 (AGE - 65 to 74 : ALL PEOPLE )"
82,99821,"T53:82 (AGE - 65 to 74 : Christian )"
83,111,"T53:83 (AGE - 65 to 74 : Buddhist )"
84,181,"T53:84 (AGE - 65 to 74 : Hindu )"
85,635,"T53:85 (AGE - 65 to 74 : Jewish )"
86,168,"T53:86 (AGE - 65 to 74 : Muslim )"
87,51,"T53:87 (AGE - 65 to 74 : Sikh )"
88,238,"T53:88 (AGE - 65 to 74 : Any other religion )"
89,6019,"T53:89 (AGE - 65 to 74 : No religion )"
90,8121,"T53:90 (AGE - 65 to 74 : Religion not stated )"
91,103494,"T53:91 (AGE - 75 and over : ALL PEOPLE )"
92,89218,"T53:92 (AGE - 75 and over : Christian )"
93,53,"T53:93 (AGE - 75 and over : Buddhist )"
94,73,"T53:94 (AGE - 75 and over : Hindu )"
95,393,"T53:95 (AGE - 75 and over : Jewish )"
96,54,"T53:96 (AGE - 75 and over : Muslim )"
97,26,"T53:97 (AGE - 75 and over : Sikh )"
98,151,"T53:98 (AGE - 75 and over : Any other religion )"
99,3810,"T53:99 (AGE - 75 and over : No religion )"
100,9716,"T53:100 (AGE - 75 and over : Religion not stated )"
101,650532,"T53:101 (ECONOMIC ACTIVITY - Economically active : ALL PEOPLE )"
102,471453,"T53:102 (ECONOMIC ACTIVITY - Economically active : Christian )"
103,1571,"T53:103 (ECONOMIC ACTIVITY - Economically active : Buddhist )"
104,2874,"T53:104 (ECONOMIC ACTIVITY - Economically active : Hindu )"
105,3306,"T53:105 (ECONOMIC ACTIVITY - Economically active : Jewish )"
106,3452,"T53:106 (ECONOMIC ACTIVITY - Economically active : Muslim )"
107,721,"T53:107 (ECONOMIC ACTIVITY - Economically active : Sikh )"
108,2130,"T53:108 (ECONOMIC ACTIVITY - Economically active : Any other religion )"
109,122212,"T53:109 (ECONOMIC ACTIVITY - Economically active : No religion )"
110,42813,"T53:110 (ECONOMIC ACTIVITY - Economically active : Religion not stated )"
111,396702,"T53:111 (ECONOMIC ACTIVITY - Employee - full-time : ALL PEOPLE )"
112,283416,"T53:112 (ECONOMIC ACTIVITY - Employee - full-time : Christian )"
113,886,"T53:113 (ECONOMIC ACTIVITY - Employee - full-time : Buddhist )"
114,1579,"T53:114 (ECONOMIC ACTIVITY - Employee - full-time : Hindu )"
115,1601,"T53:115 (ECONOMIC ACTIVITY - Employee - full-time : Jewish )"
116,1730,"T53:116 (ECONOMIC ACTIVITY - Employee - full-time : Muslim )"
117,377,"T53:117 (ECONOMIC ACTIVITY - Employee - full-time : Sikh )"
118,1178,"T53:118 (ECONOMIC ACTIVITY - Employee - full-time : Any other religion )"
119,79829,"T53:119 (ECONOMIC ACTIVITY - Employee - full-time : No religion )"
120,26106,"T53:120 (ECONOMIC ACTIVITY - Employee - full-time : Religion not stated )"
121,117893,"T53:121 (ECONOMIC ACTIVITY - Employee - part-time : ALL PEOPLE )"
122,93759,"T53:122 (ECONOMIC ACTIVITY - Employee - part-time : Christian )"
123,235,"T53:123 (ECONOMIC ACTIVITY - Employee - part-time : Buddhist )"
124,310,"T53:124 (ECONOMIC ACTIVITY - Employee - part-time : Hindu )"
125,545,"T53:125 (ECONOMIC ACTIVITY - Employee - part-time : Jewish )"
126,498,"T53:126 (ECONOMIC ACTIVITY - Employee - part-time : Muslim )"
127,86,"T53:127 (ECONOMIC ACTIVITY - Employee - part-time : Sikh )"
128,375,"T53:128 (ECONOMIC ACTIVITY - Employee - part-time : Any other religion )"
129,15039,"T53:129 (ECONOMIC ACTIVITY - Employee - part-time : No religion )"
130,7046,"T53:130 (ECONOMIC ACTIVITY - Employee - part-time : Religion not stated )"
131,71910,"T53:131 (ECONOMIC ACTIVITY - Self-employed - full-time : ALL PEOPLE )"
132,50709,"T53:132 (ECONOMIC ACTIVITY - Self-employed - full-time : Christian )"
133,227,"T53:133 (ECONOMIC ACTIVITY - Self-employed - full-time : Buddhist )"
134,638,"T53:134 (ECONOMIC ACTIVITY - Self-employed - full-time : Hindu )"
135,718,"T53:135 (ECONOMIC ACTIVITY - Self-employed - full-time : Jewish )"
136,567,"T53:136 (ECONOMIC ACTIVITY - Self-employed - full-time : Muslim )"
137,179,"T53:137 (ECONOMIC ACTIVITY - Self-employed - full-time : Sikh )"
138,234,"T53:138 (ECONOMIC ACTIVITY - Self-employed - full-time : Any other religion )"
139,13677,"T53:139 (ECONOMIC ACTIVITY - Self-employed - full-time : No religion )"
140,4961,"T53:140 (ECONOMIC ACTIVITY - Self-employed - full-time : Religion not stated )"
141,20295,"T53:141 (ECONOMIC ACTIVITY - Self-employed - part-time : ALL PEOPLE )"
142,15006,"T53:142 (ECONOMIC ACTIVITY - Self-employed - part-time : Christian )"
143,77,"T53:143 (ECONOMIC ACTIVITY - Self-employed - part-time : Buddhist )"
144,122,"T53:144 (ECONOMIC ACTIVITY - Self-employed - part-time : Hindu )"
145,249,"T53:145 (ECONOMIC ACTIVITY - Self-employed - part-time : Jewish )"
146,153,"T53:146 (ECONOMIC ACTIVITY - Self-employed - part-time : Muslim )"
147,27,"T53:147 (ECONOMIC ACTIVITY - Self-employed - part-time : Sikh )"
148,125,"T53:148 (ECONOMIC ACTIVITY - Self-employed - part-time : Any other religion )"
149,3162,"T53:149 (ECONOMIC ACTIVITY - Self-employed - part-time : No religion )"
150,1374,"T53:150 (ECONOMIC ACTIVITY - Self-employed - part-time : Religion not stated )"
151,23386,"T53:151 (ECONOMIC ACTIVITY - Unemployed : ALL PEOPLE )"
152,14946,"T53:152 (ECONOMIC ACTIVITY - Unemployed : Christian )"
153,72,"T53:153 (ECONOMIC ACTIVITY - Unemployed : Buddhist )"
154,95,"T53:154 (ECONOMIC ACTIVITY - Unemployed : Hindu )"
155,99,"T53:155 (ECONOMIC ACTIVITY - Unemployed : Jewish )"
156,285,"T53:156 (ECONOMIC ACTIVITY - Unemployed : Muslim )"
157,28,"T53:157 (ECONOMIC ACTIVITY - Unemployed : Sikh )"
158,137,"T53:158 (ECONOMIC ACTIVITY - Unemployed : Any other religion )"
159,5899,"T53:159 (ECONOMIC ACTIVITY - Unemployed : No religion )"
160,1825,"T53:160 (ECONOMIC ACTIVITY - Unemployed : Religion not stated )"
161,20346,"T53:161 (ECONOMIC ACTIVITY - Full-time student : ALL PEOPLE )"
162,13617,"T53:162 (ECONOMIC ACTIVITY - Full-time student : Christian )"
163,74,"T53:163 (ECONOMIC ACTIVITY - Full-time student : Buddhist )"
164,130,"T53:164 (ECONOMIC ACTIVITY - Full-time student : Hindu )"
165,94,"T53:165 (ECONOMIC ACTIVITY - Full-time student : Jewish )"
166,219,"T53:166 (ECONOMIC ACTIVITY - Full-time student : Muslim )"
167,24,"T53:167 (ECONOMIC ACTIVITY - Full-time student : Sikh )"
168,81,"T53:168 (ECONOMIC ACTIVITY - Full-time student : Any other religion )"
169,4606,"T53:169 (ECONOMIC ACTIVITY - Full-time student : No religion )"
170,1501,"T53:170 (ECONOMIC ACTIVITY - Full-time student : Religion not stated )"
171,295025,"T53:171 (ECONOMIC ACTIVITY - Economically inactive : ALL PEOPLE )"
172,232771,"T53:172 (ECONOMIC ACTIVITY - Economically inactive : Christian )"
173,762,"T53:173 (ECONOMIC ACTIVITY - Economically inactive : Buddhist )"
174,1055,"T53:174 (ECONOMIC ACTIVITY - Economically inactive : Hindu )"
175,1509,"T53:175 (ECONOMIC ACTIVITY - Economically inactive : Jewish )"
176,2007,"T53:176 (ECONOMIC ACTIVITY - Economically inactive : Muslim )"
177,282,"T53:177 (ECONOMIC ACTIVITY - Economically inactive : Sikh )"
178,949,"T53:178 (ECONOMIC ACTIVITY - Economically inactive : Any other religion )"
179,34723,"T53:179 (ECONOMIC ACTIVITY - Economically inactive : No religion )"
180,20967,"T53:180 (ECONOMIC ACTIVITY - Economically inactive : Religion not stated )"
181,137931,"T53:181 (ECONOMIC ACTIVITY - Retired : ALL PEOPLE )"
182,119017,"T53:182 (ECONOMIC ACTIVITY - Retired : Christian )"
183,152,"T53:183 (ECONOMIC ACTIVITY - Retired : Buddhist )"
184,232,"T53:184 (ECONOMIC ACTIVITY - Retired : Hindu )"
185,630,"T53:185 (ECONOMIC ACTIVITY - Retired : Jewish )"
186,210,"T53:186 (ECONOMIC ACTIVITY - Retired : Muslim )"
187,57,"T53:187 (ECONOMIC ACTIVITY - Retired : Sikh )"
188,305,"T53:188 (ECONOMIC ACTIVITY - Retired : Any other religion )"
189,8028,"T53:189 (ECONOMIC ACTIVITY - Retired : No religion )"
190,9300,"T53:190 (ECONOMIC ACTIVITY - Retired : Religion not stated )"
191,28547,"T53:191 (ECONOMIC ACTIVITY - Student : ALL PEOPLE )"
192,18185,"T53:192 (ECONOMIC ACTIVITY - Student : Christian )"
193,230,"T53:193 (ECONOMIC ACTIVITY - Student : Buddhist )"
194,328,"T53:194 (ECONOMIC ACTIVITY - Student : Hindu )"
195,204,"T53:195 (ECONOMIC ACTIVITY - Student : Jewish )"
196,627,"T53:196 (ECONOMIC ACTIVITY - Student : Muslim )"
197,111,"T53:197 (ECONOMIC ACTIVITY - Student : Sikh )"
198,107,"T53:198 (ECONOMIC ACTIVITY - Student : Any other religion )"
199,6357,"T53:199 (ECONOMIC ACTIVITY - Student : No religion )"
200,2398,"T53:200 (ECONOMIC ACTIVITY - Student : Religion not stated )"
201,68476,"T53:201 (ECONOMIC ACTIVITY - Looking after home/family : ALL PEOPLE )"
202,51532,"T53:202 (ECONOMIC ACTIVITY - Looking after home/family : Christian )"
203,201,"T53:203 (ECONOMIC ACTIVITY - Looking after home/family : Buddhist )"
204,257,"T53:204 (ECONOMIC ACTIVITY - Looking after home/family : Hindu )"
205,386,"T53:205 (ECONOMIC ACTIVITY - Looking after home/family : Jewish )"
206,641,"T53:206 (ECONOMIC ACTIVITY - Looking after home/family : Muslim )"
207,64,"T53:207 (ECONOMIC ACTIVITY - Looking after home/family : Sikh )"
208,217,"T53:208 (ECONOMIC ACTIVITY - Looking after home/family : Any other religion )"
209,11124,"T53:209 (ECONOMIC ACTIVITY - Looking after home/family : No religion )"
210,4054,"T53:210 (ECONOMIC ACTIVITY - Looking after home/family : Religion not stated )"
211,37760,"T53:211 (ECONOMIC ACTIVITY - Permanently sick or disabled : ALL PEOPLE )"
212,29018,"T53:212 (ECONOMIC ACTIVITY - Permanently sick or disabled : Christian )"
213,90,"T53:213 (ECONOMIC ACTIVITY - Permanently sick or disabled : Buddhist )"
214,90,"T53:214 (ECONOMIC ACTIVITY - Permanently sick or disabled : Hindu )"
215,162,"T53:215 (ECONOMIC ACTIVITY - Permanently sick or disabled : Jewish )"
216,171,"T53:216 (ECONOMIC ACTIVITY - Permanently sick or disabled : Muslim )"
217,27,"T53:217 (ECONOMIC ACTIVITY - Permanently sick or disabled : Sikh )"
218,236,"T53:218 (ECONOMIC ACTIVITY - Permanently sick or disabled : Any other religion )"
219,4885,"T53:219 (ECONOMIC ACTIVITY - Permanently sick or disabled : No religion )"
220,3081,"T53:220 (ECONOMIC ACTIVITY - Permanently sick or disabled : Religion not stated )"
221,22311,"T53:221 (ECONOMIC ACTIVITY - Other : ALL PEOPLE )"
222,15019,"T53:222 (ECONOMIC ACTIVITY - Other : Christian )"
223,89,"T53:223 (ECONOMIC ACTIVITY - Other : Buddhist )"
224,148,"T53:224 (ECONOMIC ACTIVITY - Other : Hindu )"
225,127,"T53:225 (ECONOMIC ACTIVITY - Other : Jewish )"
226,358,"T53:226 (ECONOMIC ACTIVITY - Other : Muslim )"
227,23,"T53:227 (ECONOMIC ACTIVITY - Other : Sikh )"
228,84,"T53:228 (ECONOMIC ACTIVITY - Other : Any other religion )"
229,4329,"T53:229 (ECONOMIC ACTIVITY - Other : No religion )"
230,2134,"T53:230 (ECONOMIC ACTIVITY - Other : Religion not stated )"
231,365278,"T53:231 (ECONOMIC ACTIVITY - Not aged 16 to 74 : ALL PEOPLE )"
232,267334,"T53:232 (ECONOMIC ACTIVITY - Not aged 16 to 74 : Christian )"
233,328,"T53:233 (ECONOMIC ACTIVITY - Not aged 16 to 74 : Buddhist )"
234,1105,"T53:234 (ECONOMIC ACTIVITY - Not aged 16 to 74 : Hindu )"
235,1394,"T53:235 (ECONOMIC ACTIVITY - Not aged 16 to 74 : Jewish )"
236,2142,"T53:236 (ECONOMIC ACTIVITY - Not aged 16 to 74 : Muslim )"
237,322,"T53:237 (ECONOMIC ACTIVITY - Not aged 16 to 74 : Sikh )"
238,409,"T53:238 (ECONOMIC ACTIVITY - Not aged 16 to 74 : Any other religion )"
239,58926,"T53:239 (ECONOMIC ACTIVITY - Not aged 16 to 74 : No religion )"
240,33318,"T53:240 (ECONOMIC ACTIVITY - Not aged 16 to 74 : Religion not stated )"
241,338427,"T53:241 (TENURE  - Owns outright : ALL PEOPLE )"
242,276335,"T53:242 (TENURE  - Owns outright : Christian )"
243,546,"T53:243 (TENURE  - Owns outright : Buddhist )"
244,1021,"T53:244 (TENURE  - Owns outright : Hindu )"
245,1989,"T53:245 (TENURE  - Owns outright : Jewish )"
246,1000,"T53:246 (TENURE  - Owns outright : Muslim )"
247,248,"T53:247 (TENURE  - Owns outright : Sikh )"
248,795,"T53:248 (TENURE  - Owns outright : Any other religion )"
249,32309,"T53:249 (TENURE  - Owns outright : No religion )"
250,24184,"T53:250 (TENURE  - Owns outright : Religion not stated )"
251,666086,"T53:251 (TENURE  - Owns with a mortgage or loan : ALL PEOPLE )"
252,490625,"T53:252 (TENURE  - Owns with a mortgage or loan : Christian )"
253,1234,"T53:253 (TENURE  - Owns with a mortgage or loan : Buddhist )"
254,2761,"T53:254 (TENURE  - Owns with a mortgage or loan : Hindu )"
255,3462,"T53:255 (TENURE  - Owns with a mortgage or loan : Jewish )"
256,3672,"T53:256 (TENURE  - Owns with a mortgage or loan : Muslim )"
257,914,"T53:257 (TENURE  - Owns with a mortgage or loan : Sikh )"
258,1617,"T53:258 (TENURE  - Owns with a mortgage or loan : Any other religion )"
259,116927,"T53:259 (TENURE  - Owns with a mortgage or loan : No religion )"
260,44874,"T53:260 (TENURE  - Owns with a mortgage or loan : Religion not stated )"
261,6987,"T53:261 (TENURE  - Shared ownership : ALL PEOPLE )"
262,4624,"T53:262 (TENURE  - Shared ownership : Christian )"
263,15,"T53:263 (TENURE  - Shared ownership : Buddhist )"
264,42,"T53:264 (TENURE  - Shared ownership : Hindu )"
265,27,"T53:265 (TENURE  - Shared ownership : Jewish )"
266,28,"T53:266 (TENURE  - Shared ownership : Muslim )"
267,0,"T53:267 (TENURE  - Shared ownership : Sikh )"
268,33,"T53:268 (TENURE  - Shared ownership : Any other religion )"
269,1560,"T53:269 (TENURE  - Shared ownership : No religion )"
270,658,"T53:270 (TENURE  - Shared ownership : Religion not stated )"
271,139092,"T53:271 (TENURE  - Rented from council : ALL PEOPLE )"
272,95317,"T53:272 (TENURE  - Rented from council : Christian )"
273,240,"T53:273 (TENURE  - Rented from council : Buddhist )"
274,161,"T53:274 (TENURE  - Rented from council : Hindu )"
275,201,"T53:275 (TENURE  - Rented from council : Jewish )"
276,1039,"T53:276 (TENURE  - Rented from council : Muslim )"
277,27,"T53:277 (TENURE  - Rented from council : Sikh )"
278,404,"T53:278 (TENURE  - Rented from council : Any other religion )"
279,28975,"T53:279 (TENURE  - Rented from council : No religion )"
280,12728,"T53:280 (TENURE  - Rented from council : Religion not stated )"
281,45997,"T53:281 (TENURE  - Other social rented : ALL PEOPLE )"
282,29889,"T53:282 (TENURE  - Other social rented : Christian )"
283,84,"T53:283 (TENURE  - Other social rented : Buddhist )"
284,72,"T53:284 (TENURE  - Other social rented : Hindu )"
285,90,"T53:285 (TENURE  - Other social rented : Jewish )"
286,293,"T53:286 (TENURE  - Other social rented : Muslim )"
287,19,"T53:287 (TENURE  - Other social rented : Sikh )"
288,161,"T53:288 (TENURE  - Other social rented : Any other religion )"
289,11343,"T53:289 (TENURE  - Other social rented : No religion )"
290,4046,"T53:290 (TENURE  - Other social rented : Religion not stated )"
291,81125,"T53:291 (TENURE  - Private rented : ALL PEOPLE )"
292,50994,"T53:292 (TENURE  - Private rented : Christian )"
293,344,"T53:293 (TENURE  - Private rented : Buddhist )"
294,725,"T53:294 (TENURE  - Private rented : Hindu )"
295,323,"T53:295 (TENURE  - Private rented : Jewish )"
296,1161,"T53:296 (TENURE  - Private rented : Muslim )"
297,79,"T53:297 (TENURE  - Private rented : Sikh )"
298,397,"T53:298 (TENURE  - Private rented : Any other religion )"
299,20348,"T53:299 (TENURE  - Private rented : No religion )"
300,6754,"T53:300 (TENURE  - Private rented : Religion not stated )"
301,16362,"T53:301 (TENURE  - Living rent free : ALL PEOPLE )"
302,12199,"T53:302 (TENURE  - Living rent free : Christian )"
303,40,"T53:303 (TENURE  - Living rent free : Buddhist )"
304,79,"T53:304 (TENURE  - Living rent free : Hindu )"
305,52,"T53:305 (TENURE  - Living rent free : Jewish )"
306,134,"T53:306 (TENURE  - Living rent free : Muslim )"
307,7,"T53:307 (TENURE  - Living rent free : Sikh )"
308,52,"T53:308 (TENURE  - Living rent free : Any other religion )"
309,2357,"T53:309 (TENURE  - Living rent free : No religion )"
310,1442,"T53:310 (TENURE  - Living rent free : Religion not stated )"
311,16758,"T53:311 (TENURE  - Living in a Communal Establishment : ALL PEOPLE )"
312,11575,"T53:312 (TENURE  - Living in a Communal Establishment : Christian )"
313,158,"T53:313 (TENURE  - Living in a Communal Establishment : Buddhist )"
314,173,"T53:314 (TENURE  - Living in a Communal Establishment : Hindu )"
315,65,"T53:315 (TENURE  - Living in a Communal Establishment : Jewish )"
316,274,"T53:316 (TENURE  - Living in a Communal Establishment : Muslim )"
317,30,"T53:317 (TENURE  - Living in a Communal Establishment : Sikh )"
318,29,"T53:318 (TENURE  - Living in a Communal Establishment : Any other religion )"
319,2042,"T53:319 (TENURE  - Living in a Communal Establishment : No religion )"
320,2412,"T53:320 (TENURE  - Living in a Communal Establishment : Religion not stated )"
321,1292686,"T53:321 (ACCOMMODATION TYPE - Household in unshared accommodation : ALL PEOPLE )"
322,959052,"T53:322 (ACCOMMODATION TYPE - Household in unshared accommodation : Christian )"
323,2490,"T53:323 (ACCOMMODATION TYPE - Household in unshared accommodation : Buddhist )"
324,4858,"T53:324 (ACCOMMODATION TYPE - Household in unshared accommodation : Hindu )"
325,6136,"T53:325 (ACCOMMODATION TYPE - Household in unshared accommodation : Jewish )"
326,7315,"T53:326 (ACCOMMODATION TYPE - Household in unshared accommodation : Muslim )"
327,1295,"T53:327 (ACCOMMODATION TYPE - Household in unshared accommodation : Sikh )"
328,3442,"T53:328 (ACCOMMODATION TYPE - Household in unshared accommodation : Any other religion )"
329,213550,"T53:329 (ACCOMMODATION TYPE - Household in unshared accommodation : No religion )"
330,94548,"T53:330 (ACCOMMODATION TYPE - Household in unshared accommodation : Religion not stated )"
331,1169813,"T53:331 (ACCOMMODATION TYPE - House or bungalow : ALL PEOPLE )"
332,878820,"T53:332 (ACCOMMODATION TYPE - House or bungalow : Christian )"
333,2073,"T53:333 (ACCOMMODATION TYPE - House or bungalow : Buddhist )"
334,4010,"T53:334 (ACCOMMODATION TYPE - House or bungalow : Hindu )"
335,5295,"T53:335 (ACCOMMODATION TYPE - House or bungalow : Jewish )"
336,6131,"T53:336 (ACCOMMODATION TYPE - House or bungalow : Muslim )"
337,1190,"T53:337 (ACCOMMODATION TYPE - House or bungalow : Sikh )"
338,2909,"T53:338 (ACCOMMODATION TYPE - House or bungalow : Any other religion )"
339,185660,"T53:339 (ACCOMMODATION TYPE - House or bungalow : No religion )"
340,83725,"T53:340 (ACCOMMODATION TYPE - House or bungalow : Religion not stated )"
341,116771,"T53:341 (ACCOMMODATION TYPE - Flat, maisonette or apartment : ALL PEOPLE )"
342,75504,"T53:342 (ACCOMMODATION TYPE - Flat, maisonette or apartment : Christian )"
343,407,"T53:343 (ACCOMMODATION TYPE - Flat, maisonette or apartment : Buddhist )"
344,838,"T53:344 (ACCOMMODATION TYPE - Flat, maisonette or apartment : Hindu )"
345,828,"T53:345 (ACCOMMODATION TYPE - Flat, maisonette or apartment : Jewish )"
346,1173,"T53:346 (ACCOMMODATION TYPE - Flat, maisonette or apartment : Muslim )"
347,105,"T53:347 (ACCOMMODATION TYPE - Flat, maisonette or apartment : Sikh )"
348,510,"T53:348 (ACCOMMODATION TYPE - Flat, maisonette or apartment : Any other religion )"
349,27126,"T53:349 (ACCOMMODATION TYPE - Flat, maisonette or apartment : No religion )"
350,10280,"T53:350 (ACCOMMODATION TYPE - Flat, maisonette or apartment : Religion not stated )"
351,6102,"T53:351 (ACCOMMODATION TYPE - Caravan or other mobile or temporary structure : ALL PEOPLE )"
352,4728,"T53:352 (ACCOMMODATION TYPE - Caravan or other mobile or temporary structure : Christian )"
353,10,"T53:353 (ACCOMMODATION TYPE - Caravan or other mobile or temporary structure : Buddhist )"
354,10,"T53:354 (ACCOMMODATION TYPE - Caravan or other mobile or temporary structure : Hindu )"
355,13,"T53:355 (ACCOMMODATION TYPE - Caravan or other mobile or temporary structure : Jewish )"
356,11,"T53:356 (ACCOMMODATION TYPE - Caravan or other mobile or temporary structure : Muslim )"
357,0,"T53:357 (ACCOMMODATION TYPE - Caravan or other mobile or temporary structure : Sikh )"
358,23,"T53:358 (ACCOMMODATION TYPE - Caravan or other mobile or temporary structure : Any other religion )"
359,764,"T53:359 (ACCOMMODATION TYPE - Caravan or other mobile or temporary structure : No religion )"
360,543,"T53:360 (ACCOMMODATION TYPE - Caravan or other mobile or temporary structure : Religion not stated )"
361,1391,"T53:361 (ACCOMMODATION TYPE - Household in shared accommodation : ALL PEOPLE )"
362,931,"T53:362 (ACCOMMODATION TYPE - Household in shared accommodation : Christian )"
363,13,"T53:363 (ACCOMMODATION TYPE - Household in shared accommodation : Buddhist )"
364,3,"T53:364 (ACCOMMODATION TYPE - Household in shared accommodation : Hindu )"
365,8,"T53:365 (ACCOMMODATION TYPE - Household in shared accommodation : Jewish )"
366,12,"T53:366 (ACCOMMODATION TYPE - Household in shared accommodation : Muslim )"
367,0,"T53:367 (ACCOMMODATION TYPE - Household in shared accommodation : Sikh )"
368,17,"T53:368 (ACCOMMODATION TYPE - Household in shared accommodation : Any other religion )"
369,269,"T53:369 (ACCOMMODATION TYPE - Household in shared accommodation : No religion )"
370,138,"T53:370 (ACCOMMODATION TYPE - Household in shared accommodation : Religion not stated )"
371,16758,"T53:371 (ACCOMMODATION TYPE - Communal Establishment : ALL PEOPLE )"
372,11575,"T53:372 (ACCOMMODATION TYPE - Communal Establishment : Christian )"
373,158,"T53:373 (ACCOMMODATION TYPE - Communal Establishment : Buddhist )"
374,173,"T53:374 (ACCOMMODATION TYPE - Communal Establishment : Hindu )"
375,65,"T53:375 (ACCOMMODATION TYPE - Communal Establishment : Jewish )"
376,274,"T53:376 (ACCOMMODATION TYPE - Communal Establishment : Muslim )"
